run,step,total,t,loss_gen,loss_critic,grad_norm,normalizer,gn_gen,depth,instantaneous_s_per_it
b64_resume,2600,3000,207821,0.3439,0.1268,740.0,0.194,0.05,5,66.3
b64_resume,2610,3000,208483,0.3100,0.1372,789.6,0.195,0.05,5,66.2
b64_resume,2620,3000,209148,0.3203,0.1286,901.4,0.250,0.05,4,66.5
b64_resume,2630,3000,209810,0.3101,0.1214,811.4,0.195,0.05,6,66.2
b64_resume,2640,3000,210475,0.3145,0.1339,749.5,0.207,0.04,6,66.5
b64_resume,2650,3000,211140,0.2850,0.1268,717.9,0.178,0.04,5,66.5
b64_resume,2660,3000,211803,0.3089,0.1182,838.1,0.265,0.04,5,66.3
b64_resume,2670,3000,212468,0.3040,0.1277,888.9,0.260,0.04,5,66.5
b64_resume,2680,3000,213130,0.3260,0.1273,848.7,0.239,0.05,6,66.2
b64_resume,2690,3000,213794,0.3253,0.1267,841.1,0.241,0.05,5,66.4
b64_resume,2700,3000,214460,0.3222,0.1357,846.3,0.215,0.05,6,66.6
b64_resume,2710,3000,215124,0.3096,0.1244,785.0,0.231,0.05,6,66.4
b64_resume,2720,3000,215786,0.3015,0.1251,889.6,0.267,0.04,5,66.2
b64_resume,2730,3000,216450,0.3101,0.1295,859.1,0.225,0.04,6,66.4
b64_resume,2740,3000,217115,0.3333,0.1227,814.9,0.182,0.04,5,66.5
b64_resume,2750,3000,217780,0.3291,0.1290,871.7,0.267,0.04,5,66.5
b64_resume,2760,3000,218460,0.3227,0.1206,944.9,0.261,0.05,5,68.0
b64_resume,2770,3000,219127,0.3153,0.1265,954.7,0.278,0.05,6,66.7
b64_resume,2780,3000,219792,0.3282,0.1443,883.4,0.254,0.04,5,66.5
b64_resume,2790,3000,220458,0.3195,0.1324,893.4,0.236,0.04,4,66.6
b64_resume,2800,3000,221122,0.3025,0.1470,905.7,0.216,0.04,6,66.4
b64_resume,2810,3000,221788,0.3112,0.1240,901.0,0.271,0.04,5,66.6
b64_resume,2820,3000,222451,0.2888,0.1187,803.1,0.222,0.04,6,66.3
